phrase	length	count
урамы 	1	263
җиңү 	1	20
сәлимҗанов урамы 	2	20
сәлимҗанов 	1	20
проспекты 	1	20
җиңү проспекты 	2	20
марсель сәлимҗанов урамы 	3	20
марсель 	1	20
марсель сәлимҗанов 	2	20
островский 	1	14
пушкин урамы 	2	14
пушкин 	1	14
островский урамы 	2	14
татарстан 	1	13
чернышевский урамы 	2	13
чернышевский 	1	13
татарстан урамы 	2	11
петр витер 	2	10
витер 	1	10
петр 	1	10
витер урамы 	2	10
петр витер урамы 	3	10
маркс урамы 	2	9
карл 	1	9
карл маркс урамы 	3	9
карл маркс 	2	9
маркс 	1	9
ур. 	1	9
хөсәен мәүлетов 	2	8
габдулла тукай урамы 	3	8
габдулла тукай 	2	8
мәүлетов урамы 	2	8
дзержинский урамы 	2	8
хөсәен 	1	8
дзержинский 	1	8
хөсәен мәүлетов урамы 	3	8
тукай урамы 	2	8
тукай 	1	8
мәүлетов 	1	8
габдулла 	1	8
сул як 	2	7
як болак 	2	7
сул як болак урамы 	4	7
сул 	1	7
болак урамы 	2	7
як 	1	7
як болак урамы 	3	7
мәскәү 	1	7
болак 	1	7
сул як болак 	3	7
казан 	1	6
батурин 	1	6
батурин урамы 	2	6
мәскәү ур. 	2	5
тула урамы 	2	5
тула 	1	5
камал 	1	5
камал урамы 	2	5
бөтендөнья 	1	5
горький урамы 	2	5
горький 	1	5
оешмасы 	1	5
