урам 	1	208
пушкинской урам 	2	32
пушкинской 	1	32
проезд 	1	27
ар урам 	2	19
ар 	1	19
переулок 	1	17
тракт 	1	14
славян шоссе 	2	11
славян 	1	11
влксм-лы 	1	11
шоссе 	1	11
нимо 	1	9
первомай 	1	9
первомай урам 	2	8
нимо урам 	2	8
вормонлы 	1	8
холмогоров урам 	2	7
молодёжной 	1	7
холмогоров 	1	7
молодёжной урам 	2	7
якшур-бӧдья тракт 	2	7
якшур-бӧдья 	1	7
сарапул тракт 	2	7
петров 	1	7
сарапул 	1	7
петров нимо урам 	3	7
партизанской 	1	7
петров нимо 	2	7
камбарка урам 	2	6
станиславский 	1	6
камбарка 	1	6
лымшор 	1	5
партизанской проезд 	2	5
восточной урам 	2	5
пойма урам 	2	5
восточной 	1	5
комбинатной 	1	5
пойма 	1	5
удмурт 	1	5
октябрь 	1	5
