вулиця 	1	92367
провулок 	1	11053
школа 	1	2915
проспект 	1	2620
радянська 	1	1996
радянська вулиця 	2	1979
шевченка 	1	1874
леніна 	1	1656
шевченка вулиця 	2	1552
івана 	1	1499
комсомольська 	1	1304
комсомольська вулиця 	2	1285
жовтнева 	1	1260
жовтнева вулиця 	2	1233
леніна вулиця 	2	1222
приватбанк 	1	1221
центральна 	1	1113
садова 	1	1072
церква 	1	1058
садова вулиця 	2	1057
центральна вулиця 	2	950
миру 	1	932
площа 	1	917
шосе 	1	900
нова 	1	848
гагаріна 	1	841
вул. 	1	841
перемоги 	1	837
аптека 	1	801
франка 	1	796
набережна 	1	755
тараса 	1	731
тараса шевченка 	2	706
франка вулиця 	2	702
миру вулиця 	2	695
марії 	1	692
богдана 	1	681
українки 	1	674
гагаріна вулиця 	2	672
лесі 	1	665
лесі українки 	2	664
хмельницького 	1	661
ощадбанк 	1	653
івана франка 	2	646
шкільна 	1	642
бульвар 	1	635
шкільна вулиця 	2	622
українки вулиця 	2	615
зелена 	1	613
лесі українки вулиця 	3	609
тараса шевченка вулиця 	3	605
богдана хмельницького 	2	601
молодіжна 	1	597
івана франка вулиця 	3	588
молодіжна вулиця 	2	588
зелена вулиця 	2	583
набережна вулиця 	2	582
проїзд 	1	581
банк 	1	575
дитячий 	1	574
хмельницького вулиця 	2	557
перемоги вулиця 	2	554
склодовської-кюрі вулиця 	2	553
марії склодовської-кюрі 	2	553
склодовської-кюрі 	1	553
марії склодовської-кюрі вулиця 	3	553
горького 	1	549
кірова 	1	543
пушкіна 	1	514
богдана хмельницького вулиця 	3	507
садок 	1	506
дитячий садок 	2	488
карла 	1	485
горького вулиця 	2	462
михайла 	1	454
пошта 	1	451
володимира 	1	450
грушевського 	1	450
чапаєва 	1	442
героїв 	1	439
кірова вулиця 	2	439
років 	1	436
грушевського вулиця 	2	436
нова вулиця 	2	432
рада 	1	427
травня 	1	427
київська 	1	425
миколи 	1	424
лікарня 	1	424
василя 	1	408
пушкіна вулиця 	2	406
академіка 	1	399
київська вулиця 	2	396
гоголя 	1	396
святого 	1	390
калініна 	1	384
нова пошта 	2	383
першотравнева 	1	381
травня вулиця 	2	379
центр 	1	376
чапаєва вулиця 	2	375
щорса 	1	375
першотравнева вулиця 	2	373
відділення 	1	372
храм 	1	360
маркса 	1	358
польова 	1	358
петра 	1	358
польова вулиця 	2	354
карла маркса 	2	354
фрунзе 	1	349
лісова 	1	344
чкалова 	1	341
зарічна 	1	341
зарічна вулиця 	2	340
мічуріна 	1	337
гоголя вулиця 	2	337
лінія 	1	335
озерна 	1	334
незалежності 	1	333
ватутіна 	1	331
озерна вулиця 	2	328
будинок 	1	327
лісова вулиця 	2	324
залізнична 	1	323
калініна вулиця 	2	322
щорса вулиця 	2	320
міська 	1	317
дружби 	1	316
генерала 	1	314
wog 	1	314
ринок 	1	312
маяковського 	1	312
сільська 	1	311
жовтня 	1	311
залізнична вулиця 	2	310
заводська 	1	308
фрунзе вулиця 	2	308
бібліотека 	1	306
степова 	1	306
степова вулиця 	2	304
окко 	1	299
заводська вулиця 	2	297
маркса вулиця 	2	296
карла маркса вулиця 	3	293
корпус 	1	289
березня 	1	288
чкалова вулиця 	2	287
степана 	1	285
островського 	1	284
коцюбинського 	1	277
ватутіна вулиця 	2	275
сільська рада 	2	271
мічуріна вулиця 	2	270
та 	1	270
дзержинського 	1	268
зош 	1	267
петровського 	1	264
поліклініка 	1	262
незалежності вулиця 	2	262
стрільців 	1	260
лугова вулиця 	2	260
лугова 	1	260
районна 	1	259
свердлова 	1	259
культури 	1	259
свободи 	1	259
жовтня вулиця 	2	258
січових стрільців 	2	257
січових 	1	257
bank 	1	256
олександра 	1	256
маршала 	1	255
