nguyễn 	1	2815
đường 	1	2517
lộ 	1	2025
văn 	1	1855
quốc 	1	1836
hẻm 	1	1702
số 	1	1639
quốc lộ 	2	1566
lê 	1	1367
cầu 	1	1268
trần 	1	1244
trường 	1	1186
đường số 	2	1068
ngõ 	1	1025
an 	1	775
học 	1	645
thị 	1	616
trung 	1	589
bình 	1	543
hoàng 	1	528
tân 	1	502
phú 	1	497
nguyễn văn 	2	484
phan 	1	462
đức 	1	461
phạm 	1	442
cao 	1	440
nhà 	1	436
nam 	1	430
lý 	1	426
công 	1	422
tháng 	1	420
long 	1	411
thái 	1	400
đình 	1	390
hàng 	1	388
thành 	1	386
quang 	1	384
đại 	1	382
atm 	1	380
tỉnh 	1	376
hồng 	1	372
ngô 	1	371
tiểu 	1	370
đông 	1	365
xuân 	1	360
sơn 	1	359
tiểu học 	2	354
hữu 	1	346
thanh 	1	340
hải 	1	337
minh 	1	330
võ 	1	329
chợ 	1	322
đồng 	1	321
hưng 	1	320
vương 	1	318
hòa 	1	318
hồ 	1	300
viện 	1	300
thcs 	1	300
chùa 	1	297
hà 	1	283
bidv 	1	277
cafe 	1	276
phong 	1	275
việt 	1	271
tôn 	1	269
lương 	1	266
lê văn 	2	261
ngọc 	1	257
tự 	1	256
dương 	1	254
trường tiểu học 	3	251
trường tiểu 	2	251
tỉnh lộ 	2	249
hùng 	1	248
coffee 	1	240
mỹ 	1	239
bà 	1	237
linh 	1	235
kiệt 	1	230
bùi 	1	227
huỳnh 	1	227
thánh 	1	226
thpt 	1	224
phước 	1	221
ba 	1	220
châu 	1	218
đạo 	1	215
bệnh 	1	212
techcombank 	1	211
thắng 	1	211
vietcombank 	1	210
chí 	1	207
bệnh viện 	2	206
phố 	1	206
phát 	1	205
trường thcs 	2	202
nguyễn thị 	2	199
tư 	1	198
trần phú 	2	197
nội 	1	194
hùng vương 	2	192
thờ 	1	192
hoa 	1	191
gia 	1	188
ngân 	1	188
y 	1	188
hồng phong 	2	185
lê hồng phong 	3	185
lê hồng 	2	185
khu 	1	184
trần hưng 	2	183
bến 	1	183
lợi 	1	182
hưng đạo 	2	180
nguyễn hữu 	2	178
tây 	1	176
kim 	1	173
trần hưng đạo 	3	172
thượng 	1	170
phương 	1	170
điện 	1	169
tông 	1	168
duy 	1	168
tấn 	1	167
huy 	1	166
ngân hàng 	2	166
định 	1	166
nhà thờ 	2	165
vân 	1	164
nghĩa 	1	163
ông 	1	162
khoa 	1	162
giáo 	1	161
hai 	1	159
trọng 	1	159
trương 	1	159
mai 	1	158
dân 	1	157
chu 	1	156
nguyên 	1	154
ql 	1	154
tâm 	1	154
xã 	1	153
võ văn 	2	151
văn linh 	2	150
lưu 	1	147
cảnh 	1	145
tl 	1	145
thọ 	1	144
nguyễn văn linh 	3	144
đào 	1	144
chinh 	1	143
quan 	1	143
house 	1	141
trưng 	1	141
thiện 	1	140
tế 	1	140
đặng 	1	140
hương 	1	139
mạng 	1	138
diệu 	1	138
quyền 	1	137
tám 	1	137
xăng 	1	135
quý 	1	135
trạm 	1	134
trường thpt 	2	134
tất 	1	134
cách 	1	134
đa 	1	133
cách mạng 	2	132
anh 	1	132
bạch 	1	132
cao tốc 	2	132
tốc 	1	132
chính 	1	131
mạng tháng 	2	131
cách mạng tháng 	3	131
trường chinh 	2	130
xe 	1	130
giang 	1	130
hội 	1	130
đại học 	2	130
phạm văn 	2	129
vĩnh 	1	129
tiên 	1	129
lê lợi 	2	129
cơ 	1	128
phòng 	1	126
trinh 	1	126
biên 	1	126
hành 	1	125
lạc 	1	124
nhân 	1	123
bank 	1	123
ubnd 	1	123
thường 	1	123
hiệp 	1	122
trãi 	1	122
bộ 	1	121
nguyễn trãi 	2	121
chiểu 	1	120
xóm 	1	120
bắc 	1	120
chi 	1	118
việt nam 	2	118
tổ 	1	118
ngô quyền 	2	118
cư 	1	118
quang trung 	2	117
thất 	1	117
phủ 	1	117
tháng tám 	2	116
nguyễn tất 	2	114
mạng tháng tám 	3	114
đinh 	1	114
sỹ 	1	114
cách mạng tháng tám 	4	114
du 	1	113
quán 	1	113
